ZipCode,City,MixedCity,StateCode,County,MixedCounty,Latitude,Longitude,avg_rent_one
10001,NEW YORK,New York,NY,NEW YORK,New York,40.7508,-73.996122,3953.0
10002,NEW YORK,New York,NY,NEW YORK,New York,40.722296,-73.985506,2582.0
10009,NEW YORK,New York,NY,NEW YORK,New York,40.72698,-73.980115,2817.0
10010,NEW YORK,New York,NY,NEW YORK,New York,40.738634000000005,-73.98293699999999,3413.0
10011,NEW YORK,New York,NY,NEW YORK,New York,40.74406,-74.004592,3790.0
10012,NEW YORK,New York,NY,NEW YORK,New York,40.725568,-73.99820799999999,3050.0
10013,NEW YORK,New York,NY,NEW YORK,New York,40.720921000000004,-74.008878,3706.0
10014,NEW YORK,New York,NY,NEW YORK,New York,40.734332,-74.010112,3495.0
10016,NEW YORK,New York,NY,NEW YORK,New York,40.744594,-73.978088,3475.0
10017,NEW YORK,New York,NY,NEW YORK,New York,40.752516,-73.973072,3211.0
10018,NEW YORK,New York,NY,NEW YORK,New York,40.755256,-73.996684,3550.0
10019,NEW YORK,New York,NY,NEW YORK,New York,40.767192,-73.99181,3442.0
10021,NEW YORK,New York,NY,NEW YORK,New York,40.769830999999996,-73.95851400000001,2846.0
10022,NEW YORK,New York,NY,NEW YORK,New York,40.758346,-73.967997,3168.0
10003,NEW YORK,New York,NY,NEW YORK,New York,40.731392,-73.9884,3232.0
10004,NEW YORK,New York,NY,NEW YORK,New York,40.695383,-74.026525,3874.0
10005,NEW YORK,New York,NY,NEW YORK,New York,40.706171999999995,-74.008596,3827.0
10006,NEW YORK,New York,NY,NEW YORK,New York,40.707932,-74.013335,3465.0
10007,NEW YORK,New York,NY,NEW YORK,New York,40.714216,-74.00816800000001,4638.0
10023,NEW YORK,New York,NY,NEW YORK,New York,40.773726,-73.980067,3298.0
10024,NEW YORK,New York,NY,NEW YORK,New York,40.797364,-73.97785,2922.0
10025,NEW YORK,New York,NY,NEW YORK,New York,40.798345,-73.96315799999999,2997.0
10026,NEW YORK,New York,NY,NEW YORK,New York,40.80405,-73.952833,2283.0
10027,NEW YORK,New York,NY,NEW YORK,New York,40.812908,-73.953194,2174.0
10028,NEW YORK,New York,NY,NEW YORK,New York,40.776127,-73.952597,2582.0
